probe	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
253360_at	0	burg	1	23.90419161676647	0.08651614686881191	7.711468218059633	1.0302872907692306	0.5836654070042999	0.50039848840516	0.07479929891869172	0.012508708970919713	0.019909444748793366
260857_at	0	mle	1	23.482352941176472	0.12875176352811774	17.874532981323856	0.9731556853846153	0.5841440310285793	0.5009728372342952	0.12282113324736864	0.012436973170699028	0.019909444748793366
247109_at	0	burg	1	23.345029239766085	0.30662783169942553	18.361921689594453	1.0474654438461537	0.6654915862337236	0.5985899034804684	0.3261188685123399	0.004188275385276774	0.019909444748793366
255494_at	0	burg	1	22.426966292134832	0.21600397381129044	20.046429313425552	0.9878006415384614	0.5168523684099355	0.4202228420919226	0.21272370495939005	0.02632687277784651	0.02632687277784651
257860_at	0	yule-walker	1	26.613333333333337	0.05475082479141046	25.042456073236238	1.0056560276923077	0.6137006711761215	0.5364408054113459	0.052034452036785764	0.008602402676133325	0.019909444748793366
245482_at	0	burg	1	22.553672316384183	0.10228339344744182	16.30712317783381	0.9925621915384616	0.6875072324431856	0.6250086789318228	0.09763126766690734	0.002979887384966795	0.019909444748793366
259824_at	0	burg	1	23.621301775147934	0.06424924543854564	1.0514157597052673	1.0020549446153846	0.5435765026359429	0.45229180316313156	0.06272537683874928	0.01980797012184554	0.024759962652306927
264057_at	0	burg	1	27.531034482758624	0.09305403836131071	19.48888741994601	1.0059414246153848	0.5201524570738993	0.4241829484886792	0.10494695241472096	0.02543995721839165	0.02632687277784651
263706_s_at	0	burg	1	25.265822784810126	0.23746396911254578	22.51717750884647	1.020701473846154	0.5812627372830086	0.4975152847396104	0.2176075161540237	0.01287383826319044	0.019909444748793366
248261_at	0	yule-walker	1	21.814207650273225	0.2523160733129399	0.9300668227617674	0.9515308800000001	0.574566741966847	0.48948009036021645	0.24490975284566818	0.013936611324155357	0.019909444748793366
